Name,ID,Copy_Number
Peter Ackroyd,3684568778,1
Peter Dickinson,8705121973,1
Peter Drucker,1779552589,1
Peter Drucker,6094640201,1
Phillip Janert,3488164465,1
Randy Pausch,8701878872,1
Richard Bach,9756986113,1
Richard Dawkins,2898307587,1
Richard Feynman,5841053364,1
Richard Gordon,9359964350,1
Richard Gordon,5867281108,1
Rick Rioridan,8463748593,1
Robert Fisk,7549787863,1
Robert Fisk,1821152690,1
Robert Nisbet,1431988380,1
Robert Pirsig,5375680066,1
Sam Harris,3707147496,1
Samuel Huntington,6687094445,1
Sanjay Garg,3934648877,1
Schilling Taub,2342737249,1
Sergio Franco,3057369548,1
Shashi Tharoor,1126206305,1
Shashi Tharoor,326685516,1
Shashi Tharoor,1645914511,1
Siddhartha Deb,4231393654,1
Simon Haykin,232342280,1
Simon Singh,2994946558,1
Simon Singh,434327749,1
Steig Larsson,380375141,1
Steig Larsson,2076715475,1
Steig Larsson,619848773,1
Stephen Dubner,2641325068,1
Stephen Dubner,3123714081,1
Stephen Hawking,9891004996,1
Stephen Hawking,7064353183,1
Steve Eddins,2141369295,1
Sudhanshu Ranjan,6005086031,1
Sunita Deshpande,7886869610,1
Terence Tao,2973846676,1
Terence Tao,6723704967,1
Thomas Cormen,8701963618,1
Thomas Friedman,302715212,1
V P Kale,3677203196,1
V P Menon,4419796034,1
V S Naipaul,9544052294,1
V S Naipaul,2353823923,1
V. S. Naipaul,5555356163,1
Victor Hugo,4476611729,1
Vladimir Vapnik,5894054053,1
Vladimir Vapnik,9676660910,1
W. H. Greene,9931904395,1
Werner Heisenberg,1742221102,1
Wes McKinney,1828213807,1
Will Durant,386740981,1
William Dalrymple,1149653361,1
William Dalrymple,1073342291,1
William Dalrymple,1714235853,1
William S Maugham,3237440145,1
William S Maugham,8079488146,1
William S Maugham,4192984008,1
William S Maugham,2103446290,1
Yashwant Kanetkar,9379137768,1
Yashwant Kanetkar,3171339057,1
George Orwell,6274894758,1
